Resource; Field; Cardinality; Definition; Type; Binding; Short; Producer Obligation; Consumer Obligation
EHDSImagingReport; body.orderInformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; CodeableConcept; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. ; SHOULD:able-to-populate; SHOULD:process
EHDSImagingReport; body.orderInformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. ; SHOULD:able-to-populate; SHOULD:process
EHDSImagingReport; body.orderInformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. ; SHOULD:able-to-populate; SHOULD:process
EHDSImagingReport; body.orderInformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; string; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. ; SHOULD:able-to-populate; SHOULD:process
EHDSImagingReport; body.orderInformation.clinicalQuestion; 0..1; Specification of clinical question (goal of the investigation) to be answered by the imaging investigation.; string;   ; Specification of clinical question (goal of the investigation) to be answered by the imaging investigation. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.supportingInformation; 0..1; This information includes diagnosis, clinical findings and other observations. This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order. For example, reporting the metal implants present in patient's body.; Base;   ; Additional clinical information about the patient or specimen that may affect service delivery or interpretation (additional types of information may be allowed in implementations). ; SHOULD:able-to-populate; SHOULD:process
EHDSImagingReport; body.supportingInformation.observation; 0..*; Clinical findings and other observations (e.g., height and weights of the patient).; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Clinical findings and other observations (e.g., height and weights of the patient). ; SHOULD:able-to-populate; 
EHDSImagingReport; body.supportingInformation.condition; 0..*; Conditions that may influence the service or result interpretation.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Conditions that may influence the service or result interpretation. ; SHOULD:able-to-populate; 
EHDSImagingReport; body.supportingInformation.priorMedicationAdministration; 0..*; Medication administered before ordering the service specifically for this procedure.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedicationAdministration;   ; Medication administered before ordering the service specifically for this procedure. ; SHOULD:able-to-populate; 
EHDSImagingReport; body.supportingInformation.device; 0..*; List of implants or devices that affect the course of the examination or its interpretation (e.g. metal implants).; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDeviceUse;   ; List of implants or devices that affect the course of the examination or its interpretation (e.g. metal implants). ; SHOULD:able-to-populate; 
EHDSImagingReport; body.supportingInformation.pregnancyStatus; 0..1; Pregnancy status when the imaging examination was performed (e.g., pregnant, not pregnant, unknown).; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCurrentPregnancy;   ; Pregnancy status when the imaging examination was performed (e.g., pregnant, not pregnant, unknown). ; SHOULD:able-to-populate; 
EHDSImagingReport; body.supportingInformation.sexForClinicalUse; 0..1; Sex parameter for clinical use - provides guidance on how a recipient should apply settings or reference ranges that are derived from observable information such as an organ inventory, recent hormone lab tests, genetic testing, menstrual status, obstetric history, etc. This property is intended for use in clinical decision making, and indicates that treatment or diagnostic tests should consider best practices associated with the relevant reference population.; CodeableConcept; HL7 sex-parameter-for-clinical-use (preferred)  ; Sex parameter for clinical use - provides guidance on how a recipient should apply settings or reference ranges that are derived from observable information such as an organ inventory, recent hormone lab tests, genetic testing, menstrual status, obstetric history, etc. This property is intended for use in clinical decision making, and indicates that treatment or diagnostic tests should consider best practices associated with the relevant reference population. ; SHOULD:able-to-populate; 
EHDSImagingReport; body.specimen; 0..*; Specimen information. Note: A specimen (not attached to a body) can be used for diagnostic, forensic and medical research purposes.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSSpecimen;   ; Specimen information. Note: A specimen (not attached to a body) can be used for diagnostic, forensic and medical research purposes. ; SHOULD:able-to-populate; SHOULD:process
EHDSImagingReport; body.exposureInformation; 0..1; Information on total exposure to ionising radiation. This information is required by regulations in several EU countries.; string;   ; Information on total exposure to ionising radiation. This information is required by regulations in several EU countries. ; SHOULD:able-to-populate; 
EHDSImagingReport; body.examinationReport; 1..1; Examination report content.; Base;   ; Examination report content. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.examinationReport.modality; 1..*; Imaging modality (or modalities) used during imaging investigation (DICOM CID029).; CodeableConcept; DICOM Modality (preferred)  ; Imaging modality (or modalities) used during imaging investigation (DICOM CID029). ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.examinationReport.bodySite; 0..*; All body parts investigated; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure;   ; All body parts investigated ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.examinationReport.imagingProcedures; 0..*; Imaging procedure performed during imaging study.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure;   ; Imaging procedure performed during imaging study. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.examinationReport.medicationAdministration; 0..*; Information about medications administered (contrast, sedation, stress agents, etc) during the procedure.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedicationAdministration;   ; Information about medications administered (contrast, sedation, stress agents, etc) during the procedure. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.examinationReport.adverseReaction; 0..*; Adverse reactions manifested during imaging investigation.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAllergyIntolerance;   ; Adverse reactions manifested during imaging investigation. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.examinationReport.results[x]; 0..*; Imaging report result data (report could consist of multiple observations); http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Imaging report result data (report could consist of multiple observations) ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.examinationReport.results[x]; 0..*; Imaging report result data (report could consist of multiple observations); string;   ; Imaging report result data (report could consist of multiple observations) ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.examinationReport.conclusion; 0..1; A concise and clinically contextualised summary including interpretation/impression of the diagnostic report.; Base;   ; A concise and clinically contextualised summary including interpretation/impression of the diagnostic report. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.examinationReport.conclusion.impression; 1..1; Narrative description of the clinical conclusion (impression).; string;   ; Narrative description of the clinical conclusion (impression). ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.examinationReport.conclusion.conditionOrFinding[x]; 0..*; Condition or finding from imaging investigation.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Condition or finding from imaging investigation. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.examinationReport.conclusion.conditionOrFinding[x]; 0..*; Condition or finding from imaging investigation.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Condition or finding from imaging investigation. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.recommendation; 0..1; Recommendation section for additional imaging tests or other actions; Base;   ; Recommendation section for additional imaging tests or other actions ; SHOULD:able-to-populate; SHOULD:process
